name,path,size,file_or_dir
76,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,54,directory
78,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,322,directory
79,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1226,directory
7b,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,173,directory
7c,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,177,directory
7e,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,297,directory
7f,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,402,directory
81,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,3770,directory
82,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2630,directory
84,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,595,directory
85,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,3813,directory
8a,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,184,directory
8c,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,367,directory
8d,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,996,directory
8e,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1009,directory
8f,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,3986,directory
90,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,122,directory
91,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,657,directory
92,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,125,directory
94,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,221,directory
96,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1705,directory
99,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,181,directory
9e,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1230,directory
9f,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,543,directory
a1,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,496,directory
a2,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,257,directory
a7,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,325,directory
aa,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,272,directory
ab,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1849,directory
af,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,181,directory
